country,department,pop,year
br,Rondonia,1132692,1991
br,Acre,417718,1991
br,Amazonas,2103243,1991
br,Roraima,217583,1991
br,Para,4950060,1991
br,Amapa,289397,1991
br,Tocantins,919863,1991
br,Maranhao,4930253,1991
br,Piaui,2582137,1991
br,Ceara,6366647,1991
br,Rio Grande do Norte,2415567,1991
br,Paraiba,3201114,1991
br,Pernambuco,7127855,1991
br,Alagoas,2514100,1991
br,Sergipe,1491876,1991
br,Bahia,11867991,1991
br,Minas Gerais,15743152,1991
br,Espirito Santo,2600618,1991
br,Rio de Janeiro,12807706,1991
br,Sao Paulo,31588925,1991
br,Parana,8448713,1991
br,Santa Catarina,4541994,1991
br,Rio Grande do Sul,9138670,1991
br,Mato Grosso do Sul,1780373,1991
br,Mato Grosso,2027231,1991
br,Goias,4018903,1991
br,Distrito Federal,1601094,1991
br,Rondonia,1379787,2000
br,Acre,557526,2000
br,Amazonas,2812557,2000
br,Roraima,324397,2000
br,Para,6192307,2000
br,Amapa,477032,2000
br,Tocantins,1157098,2000
br,Maranhao,5651475,2000
br,Piaui,2843278,2000
br,Ceara,7430661,2000
br,Rio Grande do Norte,2776782,2000
br,Paraiba,3443825,2000
br,Pernambuco,7918344,2000
br,Alagoas,2822621,2000
br,Sergipe,1784475,2000
br,Bahia,13070250,2000
br,Minas Gerais,17891494,2000
br,Espirito Santo,3097232,2000
br,Rio de Janeiro,14391282,2000
br,Sao Paulo,37032403,2000
br,Parana,9563458,2000
br,Santa Catarina,5356360,2000
br,Rio Grande do Sul,10187798,2000
br,Mato Grosso do Sul,2078001,2000
br,Mato Grosso,2504353,2000
br,Goias,5003228,2000
br,Distrito Federal,2051146,2000
br,Rondonia,1562409,2010
br,Acre,733559,2010
br,Amazonas,3483985,2010
br,Roraima,450479,2010
br,Para,7581051,2010
br,Amapa,669526,2010
br,Tocantins,1383445,2010
br,Maranhao,6574789,2010
br,Piaui,3118360,2010
br,Ceara,8452381,2010
br,Rio Grande do Norte,3168027,2010
br,Paraiba,3766528,2010
br,Pernambuco,8796448,2010
br,Alagoas,3120494,2010
br,Sergipe,2068017,2010
br,Bahia,14016906,2010
br,Minas Gerais,19597330,2010
br,Espirito Santo,3514952,2010
br,Rio de Janeiro,15989929,2010
br,Sao Paulo,41262199,2010
br,Parana,10444526,2010
br,Santa Catarina,6248436,2010
br,Rio Grande do Sul,10693929,2010
br,Mato Grosso do Sul,2449024,2010
br,Mato Grosso,3035122,2010
br,Goias,6003788,2010
br,Distrito Federal,2570160,2010
br,Rondonia,1748531,2014
br,Acre,790101,2014
br,Amazonas,3873743,2014
br,Roraima,496936,2014
br,Para,8073924,2014
br,Amapa,750912,2014
br,Tocantins,1496880,2014
br,Maranhao,6850884,2014
br,Piaui,3194718,2014
br,Ceara,8842791,2014
br,Rio Grande do Norte,3408510,2014
br,Paraiba,3943885,2014
br,Pernambuco,9277727,2014
br,Alagoas,3321730,2014
br,Sergipe,2219574,2014
br,Bahia,15126371,2014
br,Minas Gerais,20734097,2014
br,Espirito Santo,3885049,2014
br,Rio de Janeiro,16461173,2014
br,Sao Paulo,44035304,2014
br,Parana,11081692,2014
br,Santa Catarina,6727148,2014
br,Rio Grande do Sul,11207274,2014
br,Mato Grosso do Sul,2619657,2014
br,Mato Grosso,3224357,2014
br,Goias,6523222,2014
br,Distrito Federal,2852372,2014
br,Rondonia,1805788,2017
br,Acre,829619,2017
br,Amazonas,4063614,2017
br,Roraima,522636,2017
br,Para,8366628,2017
br,Amapa,797722,2017
br,Tocantins,1550194,2017
br,Maranhao,7000229,2017
br,Piaui,3219257,2017
br,Ceara,9020460,2017
br,Rio Grande do Norte,3507003,2017
br,Paraiba,4025558,2017
br,Pernambuco,9473266,2017
br,Alagoas,3375823,2017
br,Sergipe,2288116,2017
br,Bahia,15344447,2017
br,Minas Gerais,21119536,2017
br,Espirito Santo,4016356,2017
br,Rio de Janeiro,16718956,2017
br,Sao Paulo,45094866,2017
br,Parana,11320892,2017
br,Santa Catarina,7001161,2017
br,Rio Grande do Sul,11322895,2017
br,Mato Grosso do Sul,2713147,2017
br,Mato Grosso,3344544,2017
br,Goias,6778772,2017
br,Distrito Federal,3039444,2017