country,co_province,elevation
mx,mx_aguascalientes,1956
mx,mx_baja_california,4
mx,mx_baja_california_sur,162
mx,mx_campeche,23
mx,mx_chiapas,568
mx,mx_chihuahua,1581
mx,mx_coahuila,2022
mx,mx_colima,563
mx,mx_distrito_federal,2250
mx,mx_durango,2298
mx,mx_guanajuato,2081
mx,mx_guerrero,793
mx,mx_hidalgo,2575
mx,mx_jalisco,1565
mx,mx_mexico,2648
mx,mx_michoacan,1910
mx,mx_morelos,1439
mx,mx_nayarit,729
mx,mx_nuevo_leon,541
mx,mx_oaxaca,1575
mx,mx_puebla,2321
mx,mx_queretaro,1940
mx,mx_quintana_roo,32
mx,mx_san_luis_potosi,1861
mx,mx_sinaloa,20
mx,mx_sonora,101
mx,mx_tabasco,5
mx,mx_tamaulipas,622
mx,mx_tlaxcala,2343
mx,mx_veracruz,826
mx,mx_yucatan,9
mx,mx_zacatecas,2235
ec,ec_azuay,3924
ec,ec_bolivar,3498
ec,ec_canar,3476
ec,ec_carchi,2193
ec,ec_chimborazo,2673
ec,ec_cotopaxi,2995
ec,ec_el_oro,6
ec,ec_esmeraldas,144
ec,ec_galapagos,150
ec,ec_guayas,18
ec,ec_imbabura,2136
ec,ec_loja,2400
ec,ec_los_rios,6
ec,ec_manabi,168
ec,ec_morona_santiago,1249
ec,ec_napo,573
ec,ec_orellana,283
ec,ec_pastaza,351
ec,ec_pichincha,2965
ec,ec_santa_elena,91
ec,ec_santo_domingo_de_los_tsachilas,480
ec,ec_sucumbios,313
ec,ec_tungurahua,3219
ec,ec_zamora_chinchipe,2041
pe,pe_amazonas,3078
pe,pe_ancash,4064
pe,pe_apurimac,3983
pe,pe_arequipa,2519
pe,pe_ayacucho,3591
pe,pe_cajamarca,2644
pe,pe_callao,17
pe,pe_cusco,3460
pe,pe_huancavelica,4561
pe,pe_huanuco,3456
pe,pe_ica,358
pe,pe_junin,4537
pe,pe_la_libertad,378
pe,pe_lambayeque,123
pe,pe_loreto,129
pe,pe_madre_de dios,310
pe,pe_moquegua,3327
pe,pe_pasco,4391
pe,pe_piura,243
pe,pe_puno,4026
pe,pe_san_martin,822
pe,pe_tacna,1226
pe,pe_tumbes,296
pe,pe_ucayali,164
br,br_acre,175
br,br_alagoas,47
br,br_amapa,10
br,br_amazonas,25
br,br_bahia,63
br,br_ceara,23
br,br_distrito_federal,1048
br,br_espirito_santo,4
br,br_goias,731
br,br_maranhao,22
br,br_mato_grosso,215
br,br_mato_grosso_do_sul,455
br,br_minas_gerais,884
br,br_para,-1
br,br_paraiba,47
br,br_parana,917
br,br_pernambuco,11
br,br_piaui,119
br,br_rio_de_janeiro,339
br,br_rio_grande_do_norte,24
br,br_rio_grande_do_sul,-1
br,br_rondonia,96
br,br_roraima,86
br,br_santa_catarina,278
br,br_sao_paulo,786
br,br_sergipe,23
br,br_tocantins,601
co,co_amazonas,134
co,co_antioquia,1840
co,co_arauca,114
co,co_atlantico,2
co,co_bolivar,3
co,co_boyaca,3099
co,co_caldas,1643
co,co_caqueta,1009
co,co_casanare,214
co,co_cauca,1711
co,co_cesar,534
co,co_choco,30
co,co_cordoba,50
co,co_cundinamarca,3791
co,co_guainia,127
co,co_guaviare,202
co,co_huila,492
co,co_la_guajira,383
co,co_magdalena,1189
co,co_meta,329
co,co_narino,3321
co,co_norte_santander,155
co,co_putumayo,658
co,co_quindio,1319
co,co_risaralda,1298
co,co_arch_san_andres-prov-sta_catalina,45
co,co_santander,912
co,co_sucre,131
co,co_tolima,1551
co,co_valle_del_cauca,1471
co,co_vaupes,215
co,co_vichada,87
ve,ve_amazonas,186
ve,ve_anzoategui,39
ve,ve_apure,38
ve,ve_aragua,1587
ve,ve_barinas,123
ve,ve_bolivar,407
ve,ve_carabobo,494
ve,ve_cojedes,436
ve,ve_delta_amacuro,3
ve,ve_distrito_capital,995
ve,ve_falcon,60
ve,ve_guarico,325
ve,ve_lara,995
ve,ve_merida,3969
ve,ve_miranda,736
ve,ve_monagas,27
ve,ve_nueva_esparta,82
ve,ve_portuguesa,210
ve,ve_sucre,858
ve,ve_tachira,1389
ve,ve_trujillo,1124
ve,ve_vargas,1750
ve,ve_yaracuy,45
ve,ve_zulia,26
gt,gt_alta_verapaz,286
gt,gt_baja_verapaz,1194
gt,gt_chimaltenango,1750
gt,gt_chiquimula,545
gt,gt_el_progreso,563
gt,gt_escuintla,441
gt,gt_guatemala,1510
gt,gt_huehuetenango,2172
gt,gt_izabal,34
gt,gt_jalapa,1653
gt,gt_jutiapa,989
gt,gt_el_peten,255
gt,gt_quetzaltenango,2473
gt,gt_quiche,2038
gt,gt_retalhuleu,49
gt,gt_sacatepequez,1684
gt,gt_san_marcos,2787
gt,gt_santa_rosa,864
gt,gt_solola,2399
gt,gt_suchitepequez,310
gt,gt_totonicapan,3088
gt,gt_zacapa,429
pr,pr_all,29
bb,bb_all,39
pa,pa_bocas_del_toro,147
pa,pa_chiriqui,70
pa,pa_cocle,196
pa,pa_colon,42
pa,pa_darien,186
pa,pa_embera,106
pa,pa_herrera,42
pa,pa_kuna_yala,222
pa,pa_los_santos,302
pa,pa_ngobe_bugle,580
pa,pa_panama,754
pa,pa_panama_oeste,119
pa,pa_veraguas,88
sv,sv_ahuachapan,687
sv,sv_cabanas,689
sv,sv_chalatenango,502
sv,sv_cuscatlan,862
sv,sv_la_libertad,-19
sv,sv_la_paz,31
sv,sv_la_union,159
sv,sv_morazan,220
sv,sv_san_miguel,88
sv,sv_san_salvador,682
sv,sv_san_vicente,376
sv,sv_santa_ana,707
sv,sv_sonsonate,63
sv,sv_usulutan,7
ar,ar_buenos_aires,28
ar,ar_catamarca,1029
ar,ar_chaco,50
ar,ar_chubut,33
ar,ar_ciudad_buenos_aires,27
ar,ar_cordoba,402
ar,ar_corrientes,61
ar,ar_entre_rios,54
ar,ar_formosa,71
ar,ar_jujuy,1672
ar,ar_la_pampa,197
ar,ar_la_rioja,323
ar,ar_mendoza,939
ar,ar_misiones,120
ar,ar_neuquen,693
ar,ar_rio_negro,71
ar,ar_salta,1511
ar,ar_san_juan,584
ar,ar_san_luis,442
ar,ar_santa_cruz,173
ar,ar_santa_fe,19
ar,ar_santiago_del_estero,266
ar,ar_tierra_del_fuego,644
ar,ar_tucuman,442
cr,cr_alajuela,1187
cr,cr_cartago,1343
cr,cr_guanacaste,88
cr,cr_heredia,1768
cr,cr_limon,687
cr,cr_puntarenas,211
cr,cr_san_jose,1135
dr,dr_all,9